Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Air Optix Aqua Multifocal,Multifocal,Monthly,4.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,4.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,4.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,4.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,4.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,4.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,4.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,4.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,5.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,6.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,6.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,6.00,,,HIGH,8.60,14.20
